exp,,min,,old,,koch,
X,Y,X,Y,X,Y,X,Y
,,0.05791112736679177,406.069480183794,0.08258937090515871,570.5578646654205,0.09730350062549033,284.3162737504223
,,0.05837520938023451,418.4441036571101,0.08318994762843755,566.4203703659945,0.09787677840680194,272.46356949265464
,,0.058839291393677245,429.80733963501086,0.0837905243517164,561.7961120313419,0.09842275724614634,260.60816099024703
,,0.059330672349087205,442.1224697262437,0.08411811165532303,559.8003794869128,0.09894143714352353,249.94099758272023
,,0.059794754362529956,453.2477321758115,0.0867934079681106,537.3118810594442,0.10098885779106502,205.72822026308882
,,0.060258836375972694,464.8489416820453,0.08717559315565168,533.2068376957,0.10156213557237666,194.46936812829767
,,0.06072291838941543,476.60632131624766,0.08968709581663592,498.85752227654325,0.10213541335368827,182.16884095812168
,,0.06115970146089096,488.11829074935656,0.09028767253991477,489.60900560723803,0.10269049184035507,170.1782202237066
,,0.0616237834743337,499.8905437290797,0.09088824926319361,480.4091653414554,0.10453772024680365,127.99200383740185
,,0.06211516442974366,512.324660584479,0.09148882598647246,471.2093250756727,0.10511099802811526,116.24152002703181
,,0.06255194750121917,523.772887108213,0.09208940270975129,461.6200735817089,0.10562967792549245,104.91398007838097
,,0.06293413268876026,535.5525767606966,0.09268997943303013,451.39802884195046,0.10617565676483685,92.99366970460983
,,0.06331631787630133,547.1792834306805,0.09329055615630898,439.5696627859443,0.10874175730975554,39.10889100502595
,,0.06369850306384242,559.3414305394134,0.09389113287958782,427.887325940506,0.10934233403303438,27.280524949019764
,,0.06408068825138351,571.5800691393963,0.09449170960286665,416.6430767267717,0.10994291075631323,15.744217314149523
,,0.06446287343892458,583.8187077393793,0.09506498738417828,405.2722688638785,0.11294579437270742,-41.20717480736198
,,0.06484505862646567,596.0573463393621,0.0956382651654899,393.6191378605539,0.1133279795602485,-46.496677323490985
,,0.06522724381400674,608.8314253780943,0.09623884188876874,381.6447425939796,0.11627626529270828,-89.3968142947947
,,0.06560942900154783,620.9170809955774,0.09681211967008037,370.46864034517705,0.11687684201598712,-97.91518491126021
,,0.0659916141890889,633.1557195955604,0.09738539745139198,359.1075677629884,0.11738642226604189,-104.85968514715955
,,0.06637379937662999,644.9354092480439,0.09795867523270362,347.3376133912094,0.11807799546254479,-112.81016438919369
,,0.06675598456417106,656.4856244267778,0.09850465407204802,335.6650118264756,0.11854207747598754,-116.90709501901779
,,0.06713816975171215,668.6477715355109,0.09902333396942518,323.73063938057555,0.12097168331107012,-141.18850764290414
,,0.06752035493925324,680.733427152994,0.09954201386680238,312.69461700413274,0.12129927061467675,-144.83923790710378
,,0.06790254012679431,692.2836423317278,0.10006069376417955,301.1826475710237,0.12577629709730087,-186.70094493659053
,,0.0682847253143354,703.4514000542123,0.10060667260352395,289.5976635326308,0.12637687382057972,-192.2013785346512
,,0.06866691050187647,714.5426662854468,0.10117995038483558,277.51618017830674,0.12697745054385856,-197.94519415032482
,,0.06907639463138478,726.4562160476177,0.10169863028221275,266.55749919857203,0.12758409369868567,-205.46299424993572
,,0.06948587876089307,738.1785370816638,0.10224460912155715,254.55065299631622,0.12804210928058013,-213.37561406700797
,,0.06989536289040138,749.6809450783664,0.10281788690286879,242.1771112208561,0.1301441278120561,-252.36541328865815
,,0.07030484701990967,761.2789674391315,0.1033911646841804,230.21245123498647,0.13074470453533493,-263.7070153094378
,,0.07071433114941798,772.571023834897,0.10396444246549201,218.671275959764,0.13131798231664654,-275.1654406986718
,,0.0711511142208935,785.4550593923009,0.10451042130483641,207.26639461440482,0.13183666221402374,-284.8271659489915
,,0.0715605983504018,797.1534768353315,0.10505640014418081,196.07568944454545,0.13350189767402415,-331.23944064668717
,,0.07194278353794288,808.7036920140654,0.10560237898352522,184.83144023081115,0.13388408286156522,-344.6477616336997
,,0.07235226766745118,820.4260130481115,0.10614835782286962,173.48010292932702,0.13421167016517188,-356.33821121305846
,,0.07287094756482837,826.8878056157445,0.10672163560418126,161.28666384690086,0.13456655641074572,-368.9593072692908
,,0.0734715242881072,827.958686493243,0.10729491338549287,149.7065474488602,0.13481224688845067,-376.68494788553016
,,0.07407210101138605,829.0295673707415,0.1078681911668045,137.970666559547,0.13614989504484448,-423.6847197312977
,,0.07467267773466489,830.3438302658533,0.10846876789008332,125.89891848592754,0.13658667811632003,-438.10761535919437
,,0.07527325445794374,831.2686819327839,0.10904204567139496,113.99267018428509,0.1369688633038611,-451.5701178191755
,,0.07587383118122257,832.6316212314183,0.10961532345270657,102.43689198800564,0.13735104849140217,-464.42068834915744
,,0.07647440790450141,833.4591200913035,0.1101886012340182,91.2364515374419,0.13844300617009098,-516.6490785745848
,,0.07707498462778026,834.7733829864153,0.1107345800733626,80.25992254308221,0.13871599558976316,-528.9642086658175
,,0.07767556135105909,831.4633875468745,0.11130785785467422,68.16870390805354,0.13897988536211298,-541.3328828009253
,,0.07816694230646906,819.0300433328009,0.11190843457795306,56.242985045002,0.1412001993087802,-651.0089326713971
,,0.07857642643597736,807.7762326826604,0.11248171235926467,44.38541314688223,0.14144588978648515,-661.5392613001325
